Date,Year,Month,Month name,Mode,Users
2022-08-01,2022,8,August,Bus,9437357
2022-08-01,2022,8,August,Coach,74401
2022-08-01,2022,8,August,Train,14445338
2022-08-01,2022,8,August,Tram,12361088
2022-09-01,2022,9,September,Bus,8330355
2022-09-01,2022,9,September,Coach,74648
2022-09-01,2022,9,September,Train,14315044
2022-09-01,2022,9,September,Tram,11791504
2022-10-01,2022,10,October,Bus,9315655
2022-10-01,2022,10,October,Coach,68919
2022-10-01,2022,10,October,Train,14297751
2022-10-01,2022,10,October,Tram,12080170
2022-11-01,2022,11,November,Bus,9348041
2022-11-01,2022,11,November,Coach,74053
2022-11-01,2022,11,November,Train,14438249
2022-11-01,2022,11,November,Tram,12137205
2022-12-01,2022,12,December,Bus,8297995
2022-12-01,2022,12,December,Coach,85612
2022-12-01,2022,12,December,Train,13240883
2022-12-01,2022,12,December,Tram,10945095
2023-01-01,2023,1,January,Bus,7911205
2023-01-01,2023,1,January,Coach,84946
2023-01-01,2023,1,January,Train,11404600
2023-01-01,2023,1,January,Tram,12245668
2023-02-01,2023,2,February,Bus,9704290
2023-02-01,2023,2,February,Coach,77949
2023-02-01,2023,2,February,Train,14256267
2023-02-01,2023,2,February,Tram,12894448
2023-03-01,2023,3,March,Bus,11548743
2023-03-01,2023,3,March,Coach,88964
2023-03-01,2023,3,March,Train,18396306
2023-03-01,2023,3,March,Tram,15292063
2023-04-01,2023,4,April,Bus,9063008
2023-04-01,2023,4,April,Coach,89335
2023-04-01,2023,4,April,Train,14757361
2023-04-01,2023,4,April,Tram,12402173
2023-05-01,2023,5,May,Bus,11071479
2023-05-01,2023,5,May,Coach,95859
2023-05-01,2023,5,May,Train,17055688
2023-05-01,2023,5,May,Tram,12760569
2023-06-01,2023,6,June,Bus,9685296
2023-06-01,2023,6,June,Coach,94894
2023-06-01,2023,6,June,Train,14808531
2023-06-01,2023,6,June,Tram,11602791
2023-07-01,2023,7,July,Bus,10368151
2023-07-01,2023,7,July,Coach,99755
2023-07-01,2023,7,July,Train,15866732
2023-07-01,2023,7,July,Tram,12335062
2023-08-01,2023,8,August,Bus,11559150
2023-08-01,2023,8,August,Coach,98413
2023-08-01,2023,8,August,Train,18244663
2023-08-01,2023,8,August,Tram,13280460
2023-09-01,2023,9,September,Bus,10363766
2023-09-01,2023,9,September,Coach,100982
2023-09-01,2023,9,September,Train,16623141
2023-09-01,2023,9,September,Tram,12149257
2023-10-01,2023,10,October,Bus,11326158
2023-10-01,2023,10,October,Coach,106717
2023-10-01,2023,10,October,Train,17048978
2023-10-01,2023,10,October,Tram,12453509
2023-11-01,2023,11,November,Bus,11062913
2023-11-01,2023,11,November,Coach,104648
2023-11-01,2023,11,November,Train,16462168
2023-11-01,2023,11,November,Tram,12503061
2023-12-01,2023,12,December,Bus,9558518
2023-12-01,2023,12,December,Coach,111120
2023-12-01,2023,12,December,Train,15276190
2023-12-01,2023,12,December,Tram,12173168
2024-01-01,2024,1,January,Bus,9176254
2024-01-01,2024,1,January,Coach,113350
2024-01-01,2024,1,January,Train,15013208
2024-01-01,2024,1,January,Tram,11821351
2024-02-01,2024,2,February,Bus,11556652
2024-02-01,2024,2,February,Coach,104337
2024-02-01,2024,2,February,Train,17610327
2024-02-01,2024,2,February,Tram,13427105
2024-03-01,2024,3,March,Bus,11713364
2024-03-01,2024,3,March,Coach,112283
2024-03-01,2024,3,March,Train,19213652
2024-03-01,2024,3,March,Tram,14840535
2024-04-01,2024,4,April,Bus,10327960
2024-04-01,2024,4,April,Coach,114813
2024-04-01,2024,4,April,Train,17952844
2024-04-01,2024,4,April,Tram,14241713
2024-05-01,2024,5,May,Bus,11504640
2024-05-01,2024,5,May,Coach,109868
2024-05-01,2024,5,May,Train,19365801
2024-05-01,2024,5,May,Tram,13914626
2024-06-01,2024,6,June,Bus,9701319
2024-06-01,2024,6,June,Coach,104351
2024-06-01,2024,6,June,Train,16336738
2024-06-01,2024,6,June,Tram,11656478
2024-07-01,2024,7,July,Bus,10898018
2024-07-01,2024,7,July,Coach,110936
2024-07-01,2024,7,July,Train,17986251
2024-07-01,2024,7,July,Tram,13019738
2024-08-01,2024,8,August,Bus,11921068
2024-08-01,2024,8,August,Coach,108656
2024-08-01,2024,8,August,Train,19395701
2024-08-01,2024,8,August,Tram,13714916
2024-09-01,2024,9,September,Bus,10215779
2024-09-01,2024,9,September,Coach,107465
2024-09-01,2024,9,September,Train,17294205
2024-09-01,2024,9,September,Tram,11695377
2024-10-01,2024,10,October,Bus,11749145
2024-10-01,2024,10,October,Coach,126770
2024-10-01,2024,10,October,Train,19211544
2024-10-01,2024,10,October,Tram,14575255
2024-11-01,2024,11,November,Bus,10264854
2024-11-01,2024,11,November,Coach,112359
2024-11-01,2024,11,November,Train,16970025
2024-11-01,2024,11,November,Tram,13548253
2024-12-01,2024,12,December,Bus,9609418
2024-12-01,2024,12,December,Coach,121320
2024-12-01,2024,12,December,Train,15580861
2024-12-01,2024,12,December,Tram,13101396
2025-01-01,2025,1,January,Bus,8966088
2025-01-01,2025,1,January,Coach,122422
2025-01-01,2025,1,January,Train,15302523
2025-01-01,2025,1,January,Tram,12523366
2025-02-01,2025,2,February,Bus,10204314
2025-02-01,2025,2,February,Coach,104244
2025-02-01,2025,2,February,Train,16441548
2025-02-01,2025,2,February,Tram,13058985
2025-03-01,2025,3,March,Bus,11797835
2025-03-01,2025,3,March,Coach,119824
2025-03-01,2025,3,March,Train,20334298
2025-03-01,2025,3,March,Tram,15300456
2025-04-01,2025,4,April,Bus,10314410
2025-04-01,2025,4,April,Coach,116481
2025-04-01,2025,4,April,Train,17588399
2025-04-01,2025,4,April,Tram,13414808
2025-05-01,2025,5,May,Bus,11495314
2025-05-01,2025,5,May,Coach,111430
2025-05-01,2025,5,May,Train,19923275
2025-05-01,2025,5,May,Tram,14443916
2025-06-01,2025,6,June,Bus,9771919
2025-06-01,2025,6,June,Coach,110283
2025-06-01,2025,6,June,Train,16438018
2025-06-01,2025,6,June,Tram,11792860
2025-07-01,2025,7,July,Bus,10529402
2025-07-01,2025,7,July,Coach,113079
2025-07-01,2025,7,July,Train,17673585
2025-07-01,2025,7,July,Tram,12651420
2025-08-01,2025,8,August,Bus,10960006
2025-08-01,2025,8,August,Coach,106863
2025-08-01,2025,8,August,Train,18419617
2025-08-01,2025,8,August,Tram,12233414
2025-09-01,2025,9,September,Bus,10083900
2025-09-01,2025,9,September,Coach,105410
2025-09-01,2025,9,September,Train,17134754
2025-09-01,2025,9,September,Tram,11515404
2025-10-01,2025,10,October,Bus,11195045
2025-10-01,2025,10,October,Coach,118470
2025-10-01,2025,10,October,Train,18263411
2025-10-01,2025,10,October,Tram,12402127
2025-11-01,2025,11,November,Bus,9752042
2025-11-01,2025,11,November,Coach,107793
2025-11-01,2025,11,November,Train,16358136
2025-11-01,2025,11,November,Tram,12265500
2025-12-01,2025,12,December,Bus,9177185
2025-12-01,2025,12,December,Coach,122578
2025-12-01,2025,12,December,Train,17052349
2025-12-01,2025,12,December,Tram,12069311
2026-01-01,2026,1,January,Bus,8396842
2026-01-01,2026,1,January,Coach,110891
2026-01-01,2026,1,January,Train,15868019
2026-01-01,2026,1,January,Tram,11822424
